state_id,shells,winding,symmetry,freq_law,amp_law,phase_law,amplitudes,phases,frequencies,n_shells
S00141,"2,3,4,5",1,baryon,linear,closure_weight,exact_closure,"0.90716106,0.37377091,0.17325235,0.08566067","0.00000000,0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000,5.00000000",4
S00142,"2,3,4,5",1,baryon,linear,closure_weight,torsional_offset,"0.90716106,0.37377091,0.17325235,0.08566067","0.00000000,0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000,5.00000000",4
S00143,"2,3,4,5",1,baryon,linear,closure_weight,winding_parity,"0.90716106,0.37377091,0.17325235,0.08566067","0.00000000,0.52359878,0.00000000,0.52359878","2.00000000,3.00000000,4.00000000,5.00000000",4
S00144,"2,3,4,5",1,baryon,phi_scaled,uniform,exact_closure,"0.25000000,0.25000000,0.25000000,0.25000000","0.00000000,0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197,11.09016994",4
S00145,"2,3,4,5",1,baryon,phi_scaled,uniform,torsional_offset,"0.25000000,0.25000000,0.25000000,0.25000000","0.00000000,0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197,11.09016994",4
S00146,"2,3,4,5",1,baryon,phi_scaled,uniform,winding_parity,"0.25000000,0.25000000,0.25000000,0.25000000","0.00000000,0.52359878,0.00000000,0.52359878","2.61803399,4.23606798,6.85410197,11.09016994",4
S00147,"2,3,4,5",1,baryon,phi_scaled,phi_decaying,exact_closure,"0.79465447,0.49112347,0.30353100,0.18759247","0.00000000,0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197,11.09016994",4
S00148,"2,3,4,5",1,baryon,phi_scaled,phi_decaying,torsional_offset,"0.79465447,0.49112347,0.30353100,0.18759247","0.00000000,0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197,11.09016994",4
S00149,"2,3,4,5",1,baryon,phi_scaled,phi_decaying,winding_parity,"0.79465447,0.49112347,0.30353100,0.18759247","0.00000000,0.52359878,0.00000000,0.52359878","2.61803399,4.23606798,6.85410197,11.09016994",4
S00150,"2,3,4,5",1,baryon,phi_scaled,closure_weight,exact_closure,"0.90716106,0.37377091,0.17325235,0.08566067","0.00000000,0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197,11.09016994",4
S00151,"2,3,4,5",1,baryon,phi_scaled,closure_weight,torsional_offset,"0.90716106,0.37377091,0.17325235,0.08566067","0.00000000,0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197,11.09016994",4
