state_id,shells,winding,symmetry,freq_law,amp_law,phase_law,amplitudes,phases,frequencies,n_shells,energy_law,energy,closure_defect,spectral_variance,torsion_penalty,boundary_penalty,stability_score
S00058,"2,3,4",1,baryon,linear,phi_decaying,torsional_offset,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3,structural_k,2.177406305651e+04,0.000000000000e+00,2.990711847980e+00,1.232595164408e-32,0.000000000000e+00,1.495355923990e+00
S00058,"2,3,4",1,baryon,linear,phi_decaying,torsional_offset,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3,optimal_k,2.681136641726e+04,0.000000000000e+00,2.990711847980e+00,1.232595164408e-32,0.000000000000e+00,1.495355923990e+00
S00058,"2,3,4",1,baryon,linear,phi_decaying,torsional_offset,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3,phi_growing_2,4.037461119236e+01,0.000000000000e+00,2.990711847980e+00,1.232595164408e-32,0.000000000000e+00,1.495355923990e+00
S00059,"2,3,4",1,baryon,linear,phi_decaying,winding_parity,"0.80901699,0.50000000,0.30901699","0.00000000,0.52359878,0.00000000","2.00000000,3.00000000,4.00000000",3,structural_k,2.177406305651e+04,3.733074239188e-03,2.990711847980e+00,4.186706282427e-03,0.000000000000e+00,1.500345010114e+00
S00059,"2,3,4",1,baryon,linear,phi_decaying,winding_parity,"0.80901699,0.50000000,0.30901699","0.00000000,0.52359878,0.00000000","2.00000000,3.00000000,4.00000000",3,optimal_k,2.681136641726e+04,3.733074239188e-03,2.990711847980e+00,4.186706282427e-03,0.000000000000e+00,1.500345010114e+00
S00059,"2,3,4",1,baryon,linear,phi_decaying,winding_parity,"0.80901699,0.50000000,0.30901699","0.00000000,0.52359878,0.00000000","2.00000000,3.00000000,4.00000000",3,phi_growing_2,4.037461119236e+01,3.733074239188e-03,2.990711847980e+00,4.186706282427e-03,0.000000000000e+00,1.500345010114e+00
S00060,"2,3,4",1,baryon,linear,closure_weight,exact_closure,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3,structural_k,7.787102171561e+03,0.000000000000e+00,3.550580616569e-15,1.232595164408e-32,0.000000000000e+00,1.775290308284e-15
S00060,"2,3,4",1,baryon,linear,closure_weight,exact_closure,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3,optimal_k,9.521630260855e+03,0.000000000000e+00,3.550580616569e-15,1.232595164408e-32,0.000000000000e+00,1.775290308284e-15
S00060,"2,3,4",1,baryon,linear,closure_weight,exact_closure,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3,phi_growing_2,2.462294260338e+01,0.000000000000e+00,3.550580616569e-15,1.232595164408e-32,0.000000000000e+00,1.775290308284e-15
S00061,"2,3,4",1,baryon,linear,closure_weight,torsional_offset,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3,structural_k,7.787102171561e+03,0.000000000000e+00,3.550580616569e-15,1.232595164408e-32,0.000000000000e+00,1.775290308284e-15
