dynamics,step,P_plus_norm_sq,P_minus_norm_sq,ratio
A. Pure A_1 iteration (control),145.0,1.000000e+00,-1.429180e-16,-1.429180e-16
A. Pure A_1 iteration (control),146.0,1.000000e+00,-1.521819e-16,-1.521819e-16
A. Pure A_1 iteration (control),147.0,1.000000e+00,-1.347625e-16,-1.347625e-16
A. Pure A_1 iteration (control),148.0,1.000000e+00,-1.518652e-16,-1.518652e-16
A. Pure A_1 iteration (control),149.0,1.000000e+00,-1.478271e-16,-1.478271e-16
A. Pure A_1 iteration (control),150.0,1.000000e+00,-1.681761e-16,-1.681761e-16
A. Pure A_1 iteration (control),151.0,1.000000e+00,-1.620001e-16,-1.620001e-16
A. Pure A_1 iteration (control),152.0,1.000000e+00,-1.516277e-16,-1.516277e-16
A. Pure A_1 iteration (control),153.0,1.000000e+00,-1.429180e-16,-1.429180e-16
A. Pure A_1 iteration (control),154.0,1.000000e+00,-1.248652e-16,-1.248652e-16
A. Pure A_1 iteration (control),155.0,1.000000e+00,-1.490939e-16,-1.490939e-16
A. Pure A_1 iteration (control),156.0,1.000000e+00,-1.504400e-16,-1.504400e-16
A. Pure A_1 iteration (control),157.0,1.000000e+00,-1.515485e-16,-1.515485e-16
A. Pure A_1 iteration (control),158.0,1.000000e+00,-1.400675e-16,-1.400675e-16
A. Pure A_1 iteration (control),159.0,1.000000e+00,-1.357127e-16,-1.357127e-16
A. Pure A_1 iteration (control),160.0,1.000000e+00,-1.456101e-16,-1.456101e-16
A. Pure A_1 iteration (control),161.0,1.000000e+00,-1.524986e-16,-1.524986e-16
A. Pure A_1 iteration (control),162.0,1.000000e+00,-1.433139e-16,-1.433139e-16
A. Pure A_1 iteration (control),163.0,1.000000e+00,-1.511526e-16,-1.511526e-16
A. Pure A_1 iteration (control),164.0,1.000000e+00,-1.557450e-16,-1.557450e-16
A. Pure A_1 iteration (control),165.0,1.000000e+00,-1.471936e-16,-1.471936e-16
A. Pure A_1 iteration (control),166.0,1.000000e+00,-1.474312e-16,-1.474312e-16
A. Pure A_1 iteration (control),167.0,1.000000e+00,-1.512318e-16,-1.512318e-16
A. Pure A_1 iteration (control),168.0,1.000000e+00,-1.353960e-16,-1.353960e-16
A. Pure A_1 iteration (control),169.0,1.000000e+00,-1.350793e-16,-1.350793e-16
A. Pure A_1 iteration (control),170.0,1.000000e+00,-1.426804e-16,-1.426804e-16
A. Pure A_1 iteration (control),171.0,1.000000e+00,-1.521819e-16,-1.521819e-16
A. Pure A_1 iteration (control),172.0,1.000000e+00,-1.524986e-16,-1.524986e-16
A. Pure A_1 iteration (control),173.0,1.000000e+00,-1.490939e-16,-1.490939e-16
A. Pure A_1 iteration (control),174.0,1.000000e+00,-1.426804e-16,-1.426804e-16
A. Pure A_1 iteration (control),175.0,1.000000e+00,-1.415719e-16,-1.415719e-16
A. Pure A_1 iteration (control),176.0,1.000000e+00,-1.569326e-16,-1.569326e-16
A. Pure A_1 iteration (control),177.0,1.000000e+00,-1.635045e-16,-1.635045e-16
A. Pure A_1 iteration (control),178.0,1.000000e+00,-1.437098e-16,-1.437098e-16
A. Pure A_1 iteration (control),179.0,1.000000e+00,-1.639796e-16,-1.639796e-16
A. Pure A_1 iteration (control),180.0,1.000000e+00,-1.364253e-16,-1.364253e-16
A. Pure A_1 iteration (control),181.0,1.000000e+00,-1.589121e-16,-1.589121e-16
A. Pure A_1 iteration (control),182.0,1.000000e+00,-1.350001e-16,-1.350001e-16
A. Pure A_1 iteration (control),183.0,1.000000e+00,-1.589121e-16,-1.589121e-16
A. Pure A_1 iteration (control),184.0,1.000000e+00,-1.350001e-16,-1.350001e-16
A. Pure A_1 iteration (control),185.0,1.000000e+00,-1.589121e-16,-1.589121e-16
A. Pure A_1 iteration (control),186.0,1.000000e+00,-1.350001e-16,-1.350001e-16
A. Pure A_1 iteration (control),187.0,1.000000e+00,-1.589121e-16,-1.589121e-16
A. Pure A_1 iteration (control),188.0,1.000000e+00,-1.350001e-16,-1.350001e-16
A. Pure A_1 iteration (control),189.0,1.000000e+00,-1.589121e-16,-1.589121e-16
A. Pure A_1 iteration (control),190.0,1.000000e+00,-1.350001e-16,-1.350001e-16
A. Pure A_1 iteration (control),191.0,1.000000e+00,-1.589121e-16,-1.589121e-16
A. Pure A_1 iteration (control),192.0,1.000000e+00,-1.350001e-16,-1.350001e-16
A. Pure A_1 iteration (control),193.0,1.000000e+00,-1.589121e-16,-1.589121e-16
A. Pure A_1 iteration (control),194.0,1.000000e+00,-1.350001e-16,-1.350001e-16
A. Pure A_1 iteration (control),195.0,1.000000e+00,-1.589121e-16,-1.589121e-16
A. Pure A_1 iteration (control),196.0,1.000000e+00,-1.350001e-16,-1.350001e-16
A. Pure A_1 iteration (control),197.0,1.000000e+00,-1.589121e-16,-1.589121e-16
A. Pure A_1 iteration (control),198.0,1.000000e+00,-1.350001e-16,-1.350001e-16
