Re,Im,abs_L_sub
0.8375,-32.5000,5.890985e+01
0.8600,-32.5000,5.159123e+01
0.8825,-32.5000,4.524423e+01
0.9050,-32.5000,3.972653e+01
0.9275,-32.5000,3.491977e+01
0.9500,-32.5000,3.072491e+01
0.0500,-31.2500,1.347912e+05
0.0725,-31.2500,1.095687e+05
0.0950,-31.2500,8.919026e+04
0.1175,-31.2500,7.270679e+04
0.1400,-31.2500,5.935809e+04
0.1625,-31.2500,4.853482e+04
0.1850,-31.2500,3.974810e+04
0.2075,-31.2500,3.260544e+04
0.2300,-31.2500,2.679138e+04
0.2525,-31.2500,2.205221e+04
0.2750,-31.2500,1.818367e+04
0.2975,-31.2500,1.502113e+04
0.3200,-31.2500,1.243181e+04
0.3425,-31.2500,1.030850e+04
0.3650,-31.2500,8.564511e+03
0.3875,-31.2500,7.129717e+03
0.4100,-31.2500,5.947296e+03
0.4325,-31.2500,4.971166e+03
0.4550,-31.2500,4.163906e+03
0.4775,-31.2500,3.495093e+03
0.5000,-31.2500,2.939959e+03
0.5225,-31.2500,2.478317e+03
0.5450,-31.2500,2.093689e+03
0.5675,-31.2500,1.772609e+03
0.5900,-31.2500,1.504052e+03
0.6125,-31.2500,1.278982e+03
0.6350,-31.2500,1.089983e+03
0.6575,-31.2500,9.309539e+02
0.6800,-31.2500,7.968742e+02
0.7025,-31.2500,6.836010e+02
0.7250,-31.2500,5.877122e+02
0.7475,-31.2500,5.063757e+02
0.7700,-31.2500,4.372439e+02
0.7925,-31.2500,3.783675e+02
0.8150,-31.2500,3.281250e+02
0.8375,-31.2500,2.851651e+02
0.8600,-31.2500,2.483597e+02
0.8825,-31.2500,2.167656e+02
0.9050,-31.2500,1.895923e+02
0.9275,-31.2500,1.661765e+02
0.9500,-31.2500,1.459603e+02
0.0500,-30.0000,2.053719e+04
0.0725,-30.0000,1.572739e+04
0.0950,-30.0000,1.204338e+04
0.1175,-30.0000,9.222942e+03
0.1400,-30.0000,7.064610e+03
0.1625,-30.0000,5.413641e+03
0.1850,-30.0000,4.151246e+03
0.2075,-30.0000,3.186277e+03
0.2300,-30.0000,2.448837e+03
0.2525,-30.0000,1.885355e+03
0.2750,-30.0000,1.454795e+03
0.2975,-30.0000,1.125747e+03
0.3200,-30.0000,8.741803e+02
0.3425,-30.0000,6.817221e+02
0.3650,-30.0000,5.343357e+02
0.3875,-30.0000,4.213028e+02
0.4100,-30.0000,3.344442e+02
0.4325,-30.0000,2.675224e+02
0.4550,-30.0000,2.157838e+02
0.4775,-30.0000,1.756086e+02
0.5000,-30.0000,1.442432e+02
0.5225,-30.0000,1.195952e+02
0.5450,-30.0000,1.000771e+02
0.5675,-30.0000,8.448597e+01
0.5900,-30.0000,7.191197e+01
0.6125,-30.0000,6.166746e+01
0.6350,-30.0000,5.323300e+01
0.6575,-30.0000,4.621599e+01
0.6800,-30.0000,4.031917e+01
0.7025,-30.0000,3.531672e+01
0.7250,-30.0000,3.103628e+01
0.7475,-30.0000,2.734548e+01
0.7700,-30.0000,2.414182e+01
0.7925,-30.0000,2.134524e+01
0.8150,-30.0000,1.889250e+01
0.8375,-30.0000,1.673314e+01
0.8600,-30.0000,1.482632e+01
0.8825,-30.0000,1.313864e+01
0.9050,-30.0000,1.164240e+01
0.9275,-30.0000,1.031437e+01
0.9500,-30.0000,9.134814e+00
0.0500,-28.7500,1.185630e+04
0.0725,-28.7500,9.223878e+03
0.0950,-28.7500,7.171266e+03
0.1175,-28.7500,5.572106e+03
0.1400,-28.7500,4.327281e+03
0.1625,-28.7500,3.359104e+03
0.1850,-28.7500,2.606738e+03
0.2075,-28.7500,2.022575e+03
0.2300,-28.7500,1.569391e+03
0.2525,-28.7500,1.218104e+03
0.2750,-28.7500,9.460122e+02
0.2975,-28.7500,7.354078e+02
0.3200,-28.7500,5.724900e+02
0.3425,-28.7500,4.465121e+02
0.3650,-28.7500,3.491132e+02
0.3875,-28.7500,2.737948e+02
0.4100,-28.7500,2.155121e+02
0.4325,-28.7500,1.703534e+02
0.4550,-28.7500,1.352914e+02
0.4775,-28.7500,1.079878e+02
0.5000,-28.7500,8.664147e+01
0.5225,-28.7500,6.986940e+01
0.5450,-28.7500,5.661321e+01
0.5675,-28.7500,4.606588e+01
0.5900,-28.7500,3.761386e+01
0.6125,-28.7500,3.079168e+01
0.6350,-28.7500,2.524635e+01
0.6575,-28.7500,2.070978e+01
0.6800,-28.7500,1.697753e+01
0.7025,-28.7500,1.389274e+01
0.7250,-28.7500,1.133404e+01
0.7475,-28.7500,9.206557e+00
0.7700,-28.7500,7.435320e+00
0.7925,-28.7500,5.960404e+00
0.8150,-28.7500,4.733409e+00
0.8375,-28.7500,3.714898e+00
